problem,data,model,model_label,N,seed,test_fe,val_fe,best_epoch,epochs_run,w,n_params
Fourier(16),fourier16,peds,PEDS físico,64,0,0.1034,0.0986,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,1,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,2,0.1028,0.098,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,3,0.1033,0.0985,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,4,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,5,0.103,0.0982,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,6,0.1033,0.0985,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,7,0.103,0.0982,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,8,0.1029,0.0981,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,64,9,0.1032,0.0984,400,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,0,1.295,1.3076,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,1,0.5546,0.5652,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,2,0.3339,0.3376,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,3,0.3321,0.336,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,4,0.6961,0.7008,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,5,0.4382,0.4227,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,6,0.5385,0.5325,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,7,0.6646,0.6573,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,8,0.3261,0.319,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,64,9,1.2791,1.2725,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,64,0,0.1461,0.1444,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,1,0.1223,0.123,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,2,0.1225,0.1237,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,3,0.1193,0.1193,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,4,0.1219,0.1218,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,5,0.1234,0.1237,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,6,0.138,0.1364,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,7,0.1402,0.1393,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,8,0.1378,0.1359,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,64,9,0.15,0.1479,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,128,0,0.0942,0.09,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,1,0.0934,0.0893,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,2,0.094,0.0898,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,3,0.0946,0.0903,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,4,0.0942,0.09,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,5,0.0941,0.0898,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,6,0.0948,0.0905,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,7,0.0943,0.0901,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,8,0.094,0.0898,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,128,9,0.0939,0.0897,400,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,0,0.9441,0.9545,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,1,0.3067,0.3136,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,2,0.2227,0.2184,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,3,0.2396,0.2448,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,4,0.373,0.3778,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,5,0.2786,0.2724,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,6,0.2905,0.2871,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,7,0.3682,0.3619,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,8,0.209,0.2012,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,128,9,0.9218,0.9131,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,128,0,0.1377,0.138,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,1,0.1183,0.1205,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,2,0.1165,0.1189,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,3,0.1149,0.1168,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,4,0.1166,0.118,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,5,0.1187,0.1206,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,6,0.1316,0.1307,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,7,0.1315,0.1317,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,8,0.1293,0.1286,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,128,9,0.1408,0.1402,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,256,0,0.0869,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,1,0.0867,0.0838,390,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,2,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,3,0.0871,0.0841,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,4,0.0869,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,5,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,6,0.0872,0.0841,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,7,0.0869,0.084,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,8,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,9,0.0868,0.0838,400,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,0,0.3511,0.355,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,1,0.236,0.2373,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,2,0.2079,0.2021,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,3,0.2257,0.2313,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,4,0.177,0.1849,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,5,0.2442,0.2461,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,6,0.2235,0.226,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,7,0.2172,0.2193,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,8,0.1968,0.1899,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,9,0.3288,0.3151,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,256,0,0.121,0.1217,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,1,0.1001,0.1027,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,2,0.1001,0.1024,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,3,0.1029,0.1053,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,4,0.0986,0.0995,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,5,0.1026,0.1045,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,6,0.1069,0.1064,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,7,0.1083,0.1089,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,8,0.1069,0.1064,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,256,9,0.1215,0.1207,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,512,0,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,1,0.0857,0.0833,240,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,2,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,3,0.0857,0.0833,260,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,4,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,5,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,6,0.0857,0.0833,260,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,7,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,8,0.0857,0.0833,250,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,512,9,0.0856,0.0833,250,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,0,0.2398,0.2383,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,1,0.209,0.2104,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,2,0.1766,0.172,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,3,0.1893,0.194,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,4,0.1568,0.1639,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,5,0.2121,0.214,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,6,0.195,0.1978,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,7,0.1912,0.1937,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,8,0.1008,0.0971,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,512,9,0.2268,0.2184,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,512,0,0.0893,0.0908,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,1,0.0873,0.0903,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,2,0.0871,0.0887,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,3,0.0941,0.0969,330,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,4,0.08,0.0813,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,5,0.0873,0.0893,380,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,6,0.0805,0.0812,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,7,0.083,0.0845,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,8,0.0779,0.0779,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,512,9,0.085,0.0864,390,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,1024,0,0.0859,0.0834,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,1,0.0857,0.0833,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,2,0.0858,0.0833,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,3,0.0857,0.0833,130,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,4,0.0859,0.0834,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,5,0.0859,0.0834,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,6,0.0857,0.0833,130,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,7,0.0859,0.0834,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,8,0.0858,0.0833,120,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,1024,9,0.0858,0.0833,120,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,0,0.1484,0.1461,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,1,0.1272,0.1277,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,2,0.0992,0.0997,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,3,0.0831,0.0849,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,4,0.092,0.0958,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,5,0.0668,0.0686,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,6,0.1111,0.1132,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,7,0.0612,0.0592,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,8,0.0523,0.0522,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,1024,9,0.078,0.0733,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,1024,0,0.0709,0.0712,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,1,0.0872,0.0893,220,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,2,0.0816,0.0817,210,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,3,0.0922,0.0939,190,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,4,0.0767,0.0774,350,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,5,0.0863,0.0877,190,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,6,0.0692,0.0697,320,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,7,0.0703,0.071,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,8,0.0654,0.065,350,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,1024,9,0.063,0.0637,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,2048,0,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,1,0.0858,0.0833,60,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,2,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,3,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,4,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,5,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,6,0.0856,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,7,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,8,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,2048,9,0.0855,0.0833,70,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,0,0.047,0.0459,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,1,0.054,0.0543,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,2,0.0531,0.0535,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,3,0.0474,0.047,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,4,0.0501,0.0506,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,5,0.0469,0.0482,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,6,0.0473,0.0472,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,7,0.043,0.0422,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,8,0.0395,0.0392,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,2048,9,0.0412,0.0397,400,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,2048,0,0.0652,0.0663,270,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,1,0.085,0.087,160,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,2,0.079,0.0788,130,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,3,0.0909,0.0927,100,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,4,0.0719,0.0733,390,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,5,0.083,0.0846,130,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,6,0.0655,0.0671,250,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,7,0.065,0.0664,400,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,8,0.0606,0.0615,310,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,2048,9,0.0513,0.0522,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,4096,0,0.086,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,1,0.0858,0.0833,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,2,0.0859,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,3,0.0853,0.0833,40,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,4,0.086,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,5,0.0859,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,6,0.0854,0.0833,40,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,7,0.086,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,8,0.0859,0.0834,30,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,4096,9,0.0859,0.0834,30,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,0,0.0315,0.0319,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,1,0.0344,0.0351,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,2,0.0476,0.0475,380,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,3,0.0313,0.0312,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,4,0.0353,0.0357,390,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,5,0.0332,0.0341,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,6,0.0389,0.0394,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,7,0.0297,0.0305,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,8,0.0288,0.029,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,4096,9,0.0287,0.0282,390,,,20770.0
Fourier(16),fourier16,nn_only,NN-only,4096,0,0.063,0.0645,150,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,1,0.083,0.0862,80,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,2,0.0771,0.077,70,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,3,0.0939,0.0963,50,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,4,0.0731,0.0753,210,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,5,0.084,0.0856,50,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,6,0.0651,0.0668,120,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,7,0.0661,0.0671,90,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,8,0.0588,0.0601,150,,,20769.0
Fourier(16),fourier16,nn_only,NN-only,4096,9,0.0447,0.0471,400,,,20769.0
Fourier(25),fourier25,peds,PEDS físico,64,0,0.0744,0.0706,360,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,1,0.0743,0.0706,380,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,2,0.0752,0.0714,370,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,3,0.0745,0.0708,370,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,4,0.0744,0.0708,340,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,5,0.0746,0.0707,390,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,6,0.0747,0.0711,330,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,7,0.0745,0.0708,360,,,23066.0
